City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Ariquemes,BR,72.41,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
211,Diamantino,BR,63.19,clear sky,-14.4086,-56.4461,Hotel Delta
212,Huilong,CN,67.12,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
213,Jasdan,IN,79.92,clear sky,22.0333,71.2,આવકાર હોટલ
214,Karpathos,GR,60.76,clear sky,35.507,27.2132,Alex
215,Alexander City,US,73.18,clear sky,32.944,-85.9539,Hampton Inn Alexander City
216,Kainantu,PG,68.36,overcast clouds,-6.2887,145.8655,Sylvester buku
217,Carnarvon,AU,79.79,clear sky,-24.8667,113.6333,Hospitality Carnarvon
218,Tuatapere,NZ,64.42,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
219,Nicolas Bravo,MX,77.63,broken clouds,18.45,-88.9167,
220,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
222,Rafaela,AR,54.99,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
223,Estepona,ES,57.02,clear sky,36.4276,-5.1459,H10 Estepona Palace
224,Kudahuvadhoo,MV,81.97,light rain,2.6708,72.8944,Niyama Private Islands Maldives
225,Ugoofaaru,MV,85.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
227,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
228,Kyshtovka,RU,50.86,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
229,Hirara,JP,73.67,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
231,Margate,GB,51.87,clear sky,51.3813,1.3862,Premier Inn Margate hotel
232,Beloha,MG,65.05,broken clouds,-25.1667,45.05,
234,Galveston,US,79.05,scattered clouds,29.3669,-94.9669,Crystal Suites
235,Hauterive,FR,52.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
238,Bluff,NZ,63.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
239,Namatanai,PG,84.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
242,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
244,Constitucion,CL,55.96,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
245,Codrington,AU,54.77,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
246,Post Falls,US,68.65,clear sky,47.718,-116.9516,Red Lion Hotel Templin's on the River
248,Durban,ZA,65.01,clear sky,-29.8579,31.0292,Hilton Durban
249,Kaitangata,NZ,63.68,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
251,Mocuba,MZ,64.02,broken clouds,-16.8392,36.9856,Phama Lodge
252,Greeley,US,51.12,overcast clouds,40.4233,-104.7091,Fairfield Inn & Suites by Marriott Greeley
253,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
254,Chegutu,ZW,56.59,few clouds,-18.1302,30.1407,Jacaranda Lodge
255,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
256,Khudumelapye,BW,59.49,clear sky,-23.8833,24.75,
257,Monte Lirio,PA,69.08,overcast clouds,8.7833,-82.8333,Finca Don K-chiro
258,Leshan,CN,76.24,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
259,Faanui,PF,81.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
260,Warrenton,ZA,57.45,clear sky,-28.114,24.8475,Fish Eagles Call Warrenton
262,Narrabri,AU,71.53,overcast clouds,-30.3167,149.7833,Crossroads Hotel
263,Eydhafushi,MV,84.83,light rain,5.1033,73.0708,Soneva Fushi
266,Rantepao,ID,80.51,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
267,Porto Velho,BR,75.25,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
268,Alamo,MX,78.75,clear sky,20.9167,-97.6833,Hotel Elizabeth
269,Summerland,CA,58.55,overcast clouds,49.5998,-119.6691,Summerland Waterfront Resort Hotel
270,Kaka,TM,66.94,scattered clouds,37.3482,59.6143,
272,Ahipara,NZ,69.67,clear sky,-35.1667,173.1667,Ahipara Holiday Park
274,Arica,CL,63.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
275,Manama,BH,84.18,clear sky,26.2154,50.5832,Al Safir Hotel
276,Dullewala,PK,80.74,clear sky,31.8359,71.4362,Sajid fruit shop
277,Bela Vista Do Paraiso,BR,58.24,broken clouds,-22.9967,-51.1906,Recanto Valone
278,Beyneu,KZ,56.82,clear sky,45.3167,55.2,NUR
279,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
281,Sassandra,CI,79.43,light rain,4.95,-6.0833,la terrasse
283,Nova Esperanca,BR,70.83,overcast clouds,4.438,-61.1151,Pousada Macunaíma
