City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Fortuna,US,40.5982,-124.1573,55.92,85,20,6.91,few clouds
116,Moose Factory,CA,51.2585,-80.6094,30.38,77,22,4.9,few clouds
117,Rabo De Peixe,PT,37.8,-25.5833,62.11,77,75,11.5,broken clouds
118,Mahajanga,MG,-15.7167,46.3167,69.82,88,20,3.44,few clouds
119,Ngunguru,NZ,-35.6167,174.5,66.38,67,4,13.09,clear sky
120,Puerto Escondido,MX,15.85,-97.0667,82.49,65,99,7.23,overcast clouds
121,Port Alfred,ZA,-33.5906,26.891,64.6,83,93,5.19,overcast clouds
122,Darhan,MN,49.4867,105.9228,44.24,40,7,14.58,clear sky
123,Sioux Lookout,CA,50.1001,-91.917,53.67,35,20,3.44,few clouds
124,San Cristobal,VE,7.7669,-72.225,75.38,81,100,2.08,overcast clouds
125,Baykit,RU,61.67,96.37,39.29,73,84,8.03,broken clouds
126,Paamiut,GL,61.994,-49.6678,24.91,59,100,8.7,overcast clouds
127,Mehamn,NO,71.0357,27.8492,21.97,71,91,5.73,overcast clouds
128,Aban,RU,56.67,96.06,43.79,46,8,7.99,clear sky
129,Iqaluit,CA,63.7506,-68.5145,1.99,85,11,7.7,few clouds
130,Ullapool,GB,57.8987,-5.1604,49.35,89,100,5.06,overcast clouds
131,Luderitz,NA,-26.6481,15.1594,67.93,47,0,3.29,clear sky
132,Peterhead,GB,57.5058,-1.7981,50.4,86,99,5.88,overcast clouds
133,Oussouye,SN,12.485,-16.5469,72.75,71,5,7.83,clear sky
134,Loja,EC,-3.9931,-79.2042,56.52,98,97,2.19,light rain
135,Bakchar,RU,57.0186,82.0711,47.35,46,80,5.14,broken clouds
136,Waingapu,ID,-9.6567,120.2641,85.73,64,100,11.14,overcast clouds
137,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,79,100,6.89,overcast clouds
138,Baghdad,IQ,33.3406,44.4009,76.91,31,100,19.57,overcast clouds
139,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,41,14.32,light rain
140,Lompoc,US,34.6391,-120.4579,75.34,84,20,13.8,mist
141,Thompson,CA,55.7435,-97.8558,31.87,96,100,7.81,overcast clouds
142,Bambous Virieux,MU,-20.3428,57.7575,76.21,81,34,19.93,light rain
143,Majene,ID,-3.5403,118.9707,85.62,69,95,3.78,overcast clouds
144,Beitbridge,ZW,-22.2167,30.0,63.3,79,0,5.21,clear sky
145,Okha,RU,53.5739,142.9478,37.13,88,100,18.19,overcast clouds
146,Aripuana,BR,-9.1667,-60.6333,72.03,98,77,2.28,broken clouds
147,Tiksi,RU,71.6872,128.8694,17.35,92,100,4.14,overcast clouds
148,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,65.7,66,0,3.87,clear sky
149,Lagoa,PT,39.05,-27.9833,61.16,87,100,19.55,overcast clouds
150,Mandalgovi,MN,45.7625,106.2708,40.23,41,5,31.65,clear sky
151,Hithadhoo,MV,-0.6,73.0833,82.9,76,100,21.54,heavy intensity rain
152,Ammon,US,43.4696,-111.9666,57.7,55,0,11.5,clear sky
153,Qaanaaq,GL,77.484,-69.3632,17.74,91,100,3.53,overcast clouds
154,Hualmay,PE,-11.0964,-77.6139,64.78,87,5,9.01,clear sky
155,Aklavik,CA,68.2191,-135.0107,30.38,83,100,12.62,overcast clouds
156,Gatesville,US,31.4352,-97.7439,81.36,60,0,17.27,clear sky
157,Gualeguay,AR,-33.1416,-59.3097,51.21,88,32,6.78,scattered clouds
158,Loreto,MX,22.2667,-101.9667,78.15,16,100,12.1,overcast clouds
159,Maragogi,BR,-9.0122,-35.2225,77.38,88,47,7.99,scattered clouds
160,Moctezuma,MX,29.8,-109.6667,78.46,23,0,10.47,clear sky
161,Cherskiy,RU,68.75,161.3,33.17,99,100,4.54,overcast clouds
162,Narsaq,GL,60.9167,-46.05,35.82,52,100,5.95,overcast clouds
163,Bykovo,RU,55.6361,38.0803,34.41,86,0,6.71,clear sky
164,Provideniya,RU,64.3833,-173.3,28.51,80,40,8.95,scattered clouds
165,Chimoio,MZ,-19.1164,33.4833,58.23,97,83,2.59,broken clouds
166,Mar Del Plata,AR,-38.0023,-57.5575,55.94,70,100,14.0,overcast clouds
167,Sur,OM,22.5667,59.5289,81.55,53,0,4.09,clear sky
168,Pantai Remis,MY,4.4557,100.6288,81.99,81,100,3.27,overcast clouds
169,Ibadan,NG,7.3878,3.8964,71.91,94,98,0.58,overcast clouds
170,Wewak,PG,-3.5534,143.6268,85.35,70,64,3.62,broken clouds
171,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,40,12.66,scattered clouds
172,Borivka,UA,50.4564,29.546,36.23,70,77,6.2,broken clouds
173,Sangin,AF,32.0728,64.8359,74.86,26,1,1.5,clear sky
